OBJECTID,DCH_FEA_KEY,DCH_GRPH_KEY,DCH_FEATYPE_TEXT,DCH_OWNER_NAME,DCH_PRBL_FLOW_TYPE,DCH_MATERIAL_TYPE,DCH_PIPE_SHP_TEXT,DCH_LIFECYCLE_STAT,DCH_DSTNTN_TYPE,DCH_INSPECT_FLAG,DCH_CASING_FLAG,DCH_PERF_PIPE_FLAG,DCH_LENGTH_FT_NBR,DCH_WIDTH_IN_NBR,DCH_HEIGHT_IN_NBR,DCH_UPS_ELEV_FT_NBR,DCH_DNS_ELEV_FT_NBR,DCH_INSTALL_DATE,DCH_LST_UPDT_DATE,DCH_STREAM_NAME,DCH_GSIP_NAME,SHAPE_Length
43126,4900872,,Under Drain,Seattle Public Utilities,Sanitary,Ductile Iron Pipe,Circular,Connected,,Y,N,Y,59.34,8,8,,,2003/10/08 13:24:57+00,2013/02/01 00:00:00+00,,,59.3412744546279
43128,4900968,,Under Drain,Seattle Public Utilities,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,Y,31.3,6,6,,,2003/10/08 13:57:42+00,2013/02/01 00:00:00+00,,,31.2952437363673
43211,4937204,4350472,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,22.04,8,8,,,,2013/02/01 00:00:00+00,,,22.0358433040273
43359,4946535,,Under Drain,Private,Drainage,Unknown,Circular,Connected,,Y,N,N,99.71,,,,,2009/10/15 13:51:14+00,2013/02/01 00:00:00+00,,,99.7148255104631
43593,4959469,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,96.47,6,6,,,2010/07/29 09:45:24+00,2013/02/01 00:00:00+00,,,96.4664322308999
43594,4959476,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,96.76,6,6,,,2010/07/29 09:54:27+00,2013/02/01 00:00:00+00,,,96.7559382370513
43595,4959482,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,74.06,6,6,,,2010/07/29 09:55:55+00,2013/02/01 00:00:00+00,,,74.057582632488
43719,4975773,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,26.1,,,,,2005/08/18 16:04:10+00,2013/02/01 00:00:00+00,,,26.0999402787214
43720,4975829,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,71.92,,,,,2005/08/18 16:13:53+00,2013/02/01 00:00:00+00,,,71.9219667641647
43721,4975832,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,59.61,,,,,2005/08/18 16:13:53+00,2013/02/01 00:00:00+00,,,59.6071144283581
43722,4975836,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,36.42,,,,,2005/08/18 16:13:53+00,2013/02/01 00:00:00+00,,,36.4196222453169
43724,4975912,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,9.97,,,,,2005/08/18 16:36:07+00,2013/02/01 00:00:00+00,,,9.96787649083979
43725,4975916,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,9.19,,,,,2005/08/18 16:36:07+00,2013/02/01 00:00:00+00,,,9.19163173264813
43726,4976007,,Under Drain,Private,Drainage,Unknown,Circular,Connected,,Y,N,Y,15.56,,,,,2005/08/18 17:11:58+00,2013/02/01 00:00:00+00,,,15.5624480970556
43727,4976010,,Under Drain,Private,Drainage,Unknown,Circular,Connected,,Y,N,Y,5.62,,,,,2005/08/18 17:11:58+00,2013/02/01 00:00:00+00,,,5.61668910953573
43733,4976505,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,20.66,,,,,2005/08/19 10:02:28+00,2013/02/01 00:00:00+00,,,20.6632335390577
43745,4976997,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.14,,,,,2005/08/19 14:50:53+00,2013/02/01 00:00:00+00,,,5.13538410053164
45188,5029056,,Rain Garden,Seattle Public Utilities,Drainage,Vegetation,U Shaped,Connected,,Y,N,N,41.02,,0,,,2011/10/26 10:12:35+00,2015/07/15 00:00:00+00,,,41.0167370345348
